"Hit Record Unique ID","URL to article/Tweet","Source","Location","Hit Type","Passed through tags","Associated Publisher","Referring Hit Record Unique ID","Authors","Plain Text of Article or Tweet","Date","Mentions","Hashtags","Found URL"
1320712563076771842,"https://twitter.com/Jonathan_Elk/status/1320712563076771842","@Jonathan_Elk","","Twitter Handle","Twitter Journalists","","","Jonathan Elkhoury- جوناثان الخوري","@ofirdayan94 בוודאייי 😍😍😍","2020-10-26","['ofirdayan94']","[]","[]"
1320711508930842629,"https://twitter.com/Jonathan_Elk/status/1320711508930842629","@Jonathan_Elk","","Twitter Handle","Twitter Journalists","","","Jonathan Elkhoury- جوناثان الخوري","@ofirdayan94 אני חושב שזה גישוש באפלה במיוחד לתרגל את הציבור הלבנוני לשמוע את המילים שלום וישראל יחד. יש לה מספר תפקידים בבית הנשיא וזאת כבר התבטאות שניה בחודש אחד.","2020-10-26","['ofirdayan94']","[]","[]"
1320493314177703938,"https://twitter.com/Jonathan_Elk/status/1320493314177703938","@Jonathan_Elk","","Twitter Handle","Twitter Journalists","","","Jonathan Elkhoury- جوناثان الخوري","בת המשיא הלבנוני מכה שנית.. עדיף שלום מאשר מלחמה","2020-10-25","[]","[]","[]"
1320319309059661829,"https://twitter.com/Jonathan_Elk/status/1320319309059661829","@Jonathan_Elk","","Twitter Handle","Twitter Journalists","","","Jonathan Elkhoury- جوناثان الخوري","מדהים שם בשמאל.. הקמת מפלגה יהודית-ערבית אבל ללא הערבים. يا خسارة","2020-10-25","[]","[]","[]"
1320047893638746113,"https://twitter.com/Jonathan_Elk/status/1320047893638746113","@Jonathan_Elk","","Twitter Handle","Twitter Journalists","","","Jonathan Elkhoury- جوناثان الخوري","ח״כ עופר כסיף לא אוהב משטרים ״אפלים״, הוא אוהב משטרים בהם משלמים למפגעים, רוצחי יהודים וכאלה שביטלו את הבחירות לפני 15 שנה על מנת להישאר בשלטון, מפלים ואוסרים זכויות אדם בפרט להט״בים ונשים. כסיף יעשה כל דבר על מנת לסרב להכיר בשלום אמיתי.","2020-10-24","[]","[]","[]"
1319997310319972353,"https://twitter.com/Jonathan_Elk/status/1319997310319972353","@Jonathan_Elk","","Twitter Handle","Twitter Journalists","","","Jonathan Elkhoury- جوناثان الخوري","@AviRechterJude The Bible doesn’t talk about it.. people interpret it as such doesn’t mean it is","2020-10-24","['avirechterjude']","[]","[]"
1319996032395186178,"https://twitter.com/Jonathan_Elk/status/1319996032395186178","@Jonathan_Elk","","Twitter Handle","Twitter Journalists","","","Jonathan Elkhoury- جوناثان الخوري","@AviRechterJude And?","2020-10-24","['avirechterjude']","[]","[]"
1319994086888230914,"https://twitter.com/Jonathan_Elk/status/1319994086888230914","@Jonathan_Elk","","Twitter Handle","Twitter Journalists","","","Jonathan Elkhoury- جوناثان الخوري","@AviRechterJude Why not?","2020-10-24","['avirechterjude']","[]","[]"
1319954592738705408,"https://twitter.com/Jonathan_Elk/status/1319954592738705408","@Jonathan_Elk","","Twitter Handle","Twitter Journalists","","","Jonathan Elkhoury- جوناثان الخوري","@DanielSal_87 @ynetalerts מקווה שיעבור בשלום!!","2020-10-24","['danielsal_87', 'ynetalerts']","[]","[]"
1319722031076790273,"https://twitter.com/Jonathan_Elk/status/1319722031076790273","@Jonathan_Elk","","Twitter Handle","Twitter Journalists","","","Jonathan Elkhoury- جوناثان الخوري","@AviBuskila תיירים חוקיים בהחלט.. גנבי גבולות, פחות. הבהרה נעימה ושבת שלום","2020-10-23","['avibuskila']","[]","[]"
