UniqueID,Source,RSS feed URLs (where available),Type,Tags,Associated Twitter Handle,Associated Publisher,Name,Text aliases
13,@Claudia_Kealoha,,Twitter Handle,Twitter Journalists,,,Ekahi Ikaika,Ekahi Ikaika
17,@elderofziyon,,Twitter Handle,Twitter Journalists,,,Elder Of Ziyon ,Elder Of Ziyon 
18,@WarpedMirrorPMB,,Twitter Handle,Twitter Journalists,,,Dr. Petra Marquardt-Bigman,Dr. Petra Marquardt-Bigman
19,@GippersChutzpah,,Twitter Handle,Twitter Journalists,,,(((Emily Schrader))),Emily Schrader
20,@Jonathan_Elk,,Twitter Handle,Twitter Journalists,,,Jonathan Elkhoury,Jonathan Elkhoury
21,@3moYahya,,Twitter Handle,Twitter Journalists,,,Yahya Mahamid محاميد,Yahya Mahamid
22,@Amani90__,,Twitter Handle,Twitter Journalists,,,☆ أماني ☆,
23,@RedaMansour,,Twitter Handle,Twitter Journalists,,,Reda Mansour,Reda Mansour
24,@z7654321,,Twitter Handle,Twitter Journalists,,,Zohar Freiberg,Zohar Freiberg
25,@Amani90__,,Twitter Handle,Twitter Journalists,,,Dumisani Washington,Dumisani Washington
26,@littlebytesnews,,Twitter Handle,Twitter Journalists,,,Patty,Patty
27,@wisdomforwomen,,Twitter Handle,Twitter Journalists,,,@Wisdom for Women,@Wisdom for Women
28,@RachelSteinmetz,,Twitter Handle,Twitter Journalists,,,(((רחל Steinmetz))),Steinmetz
29,@IsraelNewsLinks,,Twitter Handle,Twitter Journalists,,,Israel News Links,Israel News Links
30,@BobSeaPort,,Twitter Handle,Twitter Journalists,,,Bob,Bob
31,@Pucemargine,,Twitter Handle,Twitter Journalists,,,Elke Götze,Elke Götze
32,@genevaaccord,,Twitter Handle,Twitter Journalists,,,Geneva Initiative,Geneva Initiative
33,@Spokoiny,,Twitter Handle,Twitter Journalists,,,Andrés Spokoiny,Andrés Spokoiny
34,@HananyaNaftali,,Twitter Handle,Twitter Journalists,,,Hananya Naftali,Hananya Naftali
35,@adambasciano,,Twitter Handle,Twitter Journalists,,,Adam Basciano,Adam Basciano
36,@AvivEzra,,Twitter Handle,Twitter Journalists,,,Aviv Ezra,Aviv Ezra
37,@DaniellaNLevy,,Twitter Handle,Twitter Journalists,,,Daniella Levy,Daniella Levy
38,@a_zionist,,Twitter Handle,Twitter Journalists,,,((A. Zionist))),A. Zionist
39,@IsraelandStufff,,Twitter Handle,Twitter Journalists,,,Israel and Stuff,Israel and Stuff
